"brood_ID" "alias"
"468" "2010_A_9" "brood_468"
"469" "2010_B_101" "brood_469"
"470" "2010_B_102" "brood_470"
"471" "2010_B_103" "brood_471"
"472" "2010_B_201" "brood_472"
"473" "2010_C_1" "brood_473"
"474" "2010_C_101" "brood_474"
"475" "2010_C_102" "brood_475"
"476" "2010_C_103" "brood_476"
"477" "2010_C_104" "brood_477"
"478" "2010_C_105" "brood_478"
"479" "2010_C_106" "brood_479"
"480" "2010_C_107" "brood_480"
"481" "2010_C_108" "brood_481"
"482" "2010_C_109" "brood_482"
"483" "2010_C_110" "brood_483"
"484" "2010_C_111" "brood_484"
"485" "2010_C_112" "brood_485"
"486" "2010_C_113" "brood_486"
"487" "2010_C_114" "brood_487"
"488" "2010_C_115" "brood_488"
"489" "2010_C_116" "brood_489"
"490" "2010_C_117" "brood_490"
"491" "2010_C_118" "brood_491"
"492" "2010_C_2" "brood_492"
"493" "2010_C_202" "brood_493"
"494" "2010_C_3" "brood_494"
"495" "2010_C_4" "brood_495"
"496" "2010_C_5" "brood_496"
"497" "2010_C_6" "brood_497"
"498" "2010_C_7" "brood_498"
"499" "2010_C_8" "brood_499"
"500" "2010_C_9" "brood_500"
"501" "2010_D_1" "brood_501"
"502" "2010_D_101" "brood_502"
"503" "2010_D_102" "brood_503"
"504" "2010_D_103" "brood_504"
"505" "2010_D_104" "brood_505"
"506" "2010_D_105" "brood_506"
"507" "2010_D_2" "brood_507"
"508" "2010_E_101" "brood_508"
"509" "2010_E_102" "brood_509"
"510" "2010_E_103" "brood_510"
"511" "2010_E_104" "brood_511"
"512" "2010_F_101" "brood_512"
"513" "2010_G_1" "brood_513"
"514" "2010_G_2" "brood_514"
"515" "2010_G_3" "brood_515"
"516" "2010_G_4" "brood_516"
"517" "2011_A_1" "brood_517"
"518" "2011_A_10" "brood_518"
"519" "2011_A_101" "brood_519"
"520" "2011_A_102" "brood_520"
"521" "2011_A_103" "brood_521"
"522" "2011_A_104" "brood_522"
"523" "2011_A_105" "brood_523"
"524" "2011_A_106" "brood_524"
"525" "2011_A_107" "brood_525"
"526" "2011_A_108" "brood_526"
"527" "2011_A_11" "brood_527"
"528" "2011_A_12" "brood_528"
"529" "2011_A_13" "brood_529"
"530" "2011_A_14" "brood_530"
"531" "2011_A_15" "brood_531"
"532" "2011_A_16" "brood_532"
"533" "2011_A_17" "brood_533"
"534" "2011_A_2" "brood_534"
"535" "2011_A_201" "brood_535"
"536" "2011_A_202" "brood_536"
"537" "2011_A_203" "brood_537"
"538" "2011_A_3" "brood_538"
"539" "2011_A_301" "brood_539"
"540" "2011_A_4" "brood_540"
"541" "2011_A_5" "brood_541"
"542" "2011_A_6" "brood_542"
"543" "2011_A_7" "brood_543"
"544" "2011_A_8" "brood_544"
"545" "2011_A_9" "brood_545"
"546" "2011_B_1" "brood_546"
"547" "2011_B_101" "brood_547"
"548" "2011_B_102" "brood_548"
"549" "2011_B_103" "brood_549"
"550" "2011_B_104" "brood_550"
"551" "2011_B_2" "brood_551"
"552" "2011_B_201" "brood_552"
"553" "2011_B_202" "brood_553"
"554" "2011_B_203" "brood_554"
"555" "2011_B_3" "brood_555"
"556" "2011_B_301" "brood_556"
"557" "2011_B_4" "brood_557"
"558" "2011_B_5" "brood_558"
"559" "2011_C_1" "brood_559"
"560" "2011_C_101" "brood_560"
"561" "2011_C_2" "brood_561"
"562" "2011_C_201" "brood_562"
"563" "2011_C_3" "brood_563"
"564" "2011_C_4" "brood_564"
"565" "2011_D_1" "brood_565"
"566" "2011_D_101" "brood_566"
"567" "2011_D_102" "brood_567"
"568" "2011_D_2" "brood_568"
"569" "2011_D_201" "brood_569"
"570" "2011_D_3" "brood_570"
"571" "2011_D_4" "brood_571"
"572" "2011_D_5" "brood_572"
"573" "2011_D_6" "brood_573"
"574" "2011_D_7" "brood_574"
"575" "2011_D_8" "brood_575"
"576" "2011_D_9" "brood_576"
