"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"27" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2263.54400738714 36.0951447588041 1.41371608432069e-08 491.16672 92
"19" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2264.08511626794 36.6362536396059 1.07860368231226e-08 493.72701 93
"47" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2264.44886262834 37 8.9923950949921e-09 490.04962 94
"77" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2268.36731626794 40.918453639606 1.26763430431678e-09 498.0092 95
"67" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2268.73548360656 41.2866209782205 1.05450213076611e-09 500.39384 96
"98" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2140.86272765957 0 0.898432976744568 455.55515 97
"88" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2147.19287632884 6.33014866927033 0.0379237579372756 463.90811 98
"128" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2147.32735017743 6.46462251785624 0.0354577146503696 459.99414 99
"118" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2147.78672765957 6.92399999999998 0.0281811160166768 462.47921 100
"58" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2166.26812765957 25.4054000000001 2.73384047442406e-06 480.96053 101
"108" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2168.64029008499 27.7775624254118 8.34958024971008e-07 487.3754 102
"38" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2169.49807632884 28.6353486692706 5.43749320182008e-07 486.21328 103
"48" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2171.60472765957 30.7419999999997 1.89646661935746e-07 486.29722 104
"28" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2172.95747632884 32.0947486692703 9.64272012215786e-08 489.67268 105
"78" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2174.92639008499 34.0636624254116 3.60292624493666e-08 493.66145 106
"110" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2200.23529008499 59.3725624254116 1.15052898787365e-13 518.97037 107
"68" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2201.90266284501 61.0399351854362 4.99841338486521e-14 522.65476 108
"59" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2254.27513013699 0 0.674170432556227 450.31984 109
"119" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2257.38323013699 3.10809999999992 0.142512960470184 453.42796 110
"129" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2258.25047217272 3.97534203573514 0.0923708939398277 452.27045 111
"39" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2258.48415982204 4.20902968505334 0.0821846137359861 456.55084 112
"89" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2264.49385982204 10.2187296850534 0.00407193413375803 462.56053 113
"109" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2265.51155554036 11.2364254033691 0.00244799725801195 465.59744 114
"99" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2266.51353013699 12.2384000000002 0.00148332018917549 462.55829 115
"29" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2269.32345982204 15.0483296850534 0.000363970704660608 467.39012 116
"120" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2270.42965554036 16.154525403369 0.000209343307412183 470.51559 117
"49" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2270.69613013699 16.4209999999998 0.000183229272748932 466.74084 118
"79" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2281.54695554036 27.2718254033693 8.06804031138193e-07 481.63281 119
"69" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2282.51341161996 28.238281482973 4.97627976502166e-07 484.61572 120
"810" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2178.86103498623 0 0.331256313382346 484.18394 121
"510" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2179.98854190214 1.12750691591054 0.188507723294058 483.28932 122
"1210" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2180.68063793103 1.81960294480905 0.133365164537907 481.95649 123
"1110" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2180.72524190214 1.86420691591093 0.130423777861178 484.02601 124
"910" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2180.87084190214 2.00980691591076 0.121266302990294 484.17155 125
"1010" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2181.98461142464 3.12357643841324 0.0694845355110804 489.32681 126
"310" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2183.97413498623 5.11310000000003 0.0256961824068357 489.29698 127
"410" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2227.50184190214 48.6408069159106 9.07710051773759e-12 530.80262 128
"210" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2229.19323498623 50.3322000000003 3.89642035257854e-12 534.5161 129
"710" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2230.04621142464 51.1851764384132 2.54357368332547e-12 537.38842 130
"130" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2233.69851142464 54.837476438413 4.09597648650037e-13 541.04071 131
"610" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2233.88006547455 55.0190304883272 3.74053302813542e-13 543.23879 132
"511" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2125.74821082803 0 0.211512995995519 473.0946 133
"1011" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2126.2061639576 0.457953129571706 0.168226263294695 477.5951 134
"311" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2126.32510792079 0.576897092766558 0.158513204184086 475.69423 135
"1111" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2126.36861082803 0.620400000000245 0.155102539504616 473.71497 136
"811" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2126.49790792079 0.749697092766837 0.145392633045339 475.867 137
"1211" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2127.11557875354 1.36736792551574 0.106762045123937 472.43643 138
"911" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2128.46711082803 2.7189000000003 0.0543169559998423 475.81349 139
"131" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2141.9510639576 16.2028531295718 6.41109488082824e-05 493.33996 140
"211" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2142.49300792079 16.7447970927665 4.88934370581938e-05 491.8621 141
"411" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2143.27091082803 17.5227 3.31383665819044e-05 490.61726 142
"611" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2144.65057288136 18.9023620533303 1.66242204580775e-05 498.05648 143
"711" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2145.5513639576 19.8031531295719 1.05958790597712e-05 496.94027 144
"912" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2160.56479465917 0 0.282663214138515 485.53787 145
"1112" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2160.66609465917 0.10129999999981 0.268702852882375 485.63908 146
"812" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2160.67315168539 0.10835702622262 0.267756402106867 487.66872 147
"1212" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2162.00298227848 1.43818761931061 0.137711693639913 484.95062 148
"512" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2164.75679465917 4.19200000000001 0.0347526605933234 489.72983 149
"1012" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2168.75974736842 8.19495270925017 0.00469632260639647 497.77503 150
"312" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2169.22755168539 8.66275702622261 0.00371685403066419 496.22313 151
"212" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2213.16305168539 52.5982570262227 1.07078653379769e-12 540.15864 152
"412" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2213.91549465917 53.3507 7.35041712163318e-13 538.88852 153
"712" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2218.24834736842 57.6835527092503 8.42257668659985e-14 547.26365 154
"132" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2219.31564736842 58.75085270925 4.93950834639723e-14 548.3309 155
"612" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2223.54517573633 62.9803810771546 5.96009672676085e-15 554.57729 156
"813" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2296.93285982204 0 0.36430620815851 486.05051 157
"913" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2297.79523013699 0.862370314946475 0.236703804086355 484.89097 158
"1213" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2298.02517217272 1.09231235068137 0.210995872118253 483.09617 159
"1113" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2298.94113013699 2.00827031494646 0.133467711575764 486.03684 160
"1013" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2301.54365554036 4.61079571831533 0.0363282939765007 492.68048 161
"313" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2303.56175982204 6.6288999999997 0.0132440016623861 492.67942 162
"513" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2305.52893013699 8.59607031494625 0.00495283226516414 492.6246 163
"713" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2324.07785554036 27.1449957183154 4.64521314423355e-07 515.21475 164
