"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"813" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10310.7952787682 15.8337252216406 0.00036431275416751 6039.2766 132
"913" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10312.1562672534 17.1947137067637 0.000184475833453111 6038.624 133
"613" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10314.3600969683 19.3985434217029 6.12891980832195e-05 6046.8639 134
"713" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10316.1572222222 21.1956686756293 2.49541710973325e-05 6046.6507 135
"313" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10694.4734174757 399.511863929136 0 6437.0193 136
"413" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10695.9028959538 400.941342407164 0 6436.442 137
"513" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10697.7483024977 402.786748951095 0 6436.2803 138
"113" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10703.3308664202 408.369312873559 0 6447.8822 139
"213" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10704.6734174757 409.711863929137 0 6447.2198 140
"814" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9491.65166652562 0 0.549981726368699 5271.282 141
"914" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9493.44775382083 1.79608729520987 0.22404376344294 5271.065 142
"614" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9494.39033007519 2.73866354956408 0.139847602776229 5278.0443 143
"714" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9496.40162549941 4.74995897378903 0.0511573187380958 5278.0443 144
"1014" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9497.1624790539 5.51081252827316 0.0349695886740366 5266.7175 145
"314" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10010.5520136822 518.900347156612 0 5804.2483 146
"414" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10012.2520910798 520.60042455419 0 5803.9417 147
"114" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10012.2850778977 520.633411372079 0 5807.9871 148
"514" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10013.5933107537 521.941644228074 0 5803.2755 149
"214" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10014.0627136822 522.411047156611 0 5807.7593 150
"1015" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10674.2650748888 0 0.999999999969497 6294.6856 151
"715" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10724.4469142323 50.1818393434605 1.26809573147482e-11 6356.9546 152
"815" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10724.521086489 50.2560116001769 1.22192834654568e-11 6355.0166 153
"915" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10726.5331996727 52.26812478383 4.46807972223483e-12 6355.0151 154
"615" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10729.274682243 55.0096073541536 1.13452883207685e-12 6363.793 155
"415" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 11080.0611437909 405.796068902013 0 6722.615 156
"215" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 11080.4946032672 406.229528378375 0 6725.0554 157
"515" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 11081.9906212935 407.725546404648 0 6722.5375 158
"115" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 11097.1259990667 422.86092417789 0 6743.6919 159
"315" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 11097.2856032672 423.020528378374 0 6741.8467 160
"1016" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10114.5760085268 0 0.999999988853619 5806.696 161
"616" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10152.8934261055 38.3174175786971 4.78055685438525e-09 5859.1132 162
"716" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10153.1427937559 38.5667852291481 4.22016071407168e-09 5857.3513 163
"816" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10155.1531130826 40.5771045557995 1.54452056441892e-09 5857.3492 164
"916" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10157.040384761 42.4643762342384 6.01143086960244e-10 5857.2237 165
"116" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10480.1601676505 365.584159123768 0 6198.4285 166
"216" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10480.3318393954 365.755830868606 0 6196.5946 167
"316" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10481.8308393954 367.254830868605 0 6198.0936 168
"416" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10482.0794587763 367.503450249516 0 6196.3359 169
"516" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10483.884026465 369.308017938263 0 6196.1326 170
"1017" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 9924.70625354659 0 0.999999647401305 5593.616 171
"817" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 9956.03007876823 31.3238252216415 1.57803860642391e-07 5635.0142 172
"917" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 9956.13926725336 31.4330137067645 1.49419626214045e-07 5633.1104 173
"717" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 9959.32572222222 34.6194686756317 3.03723041825957e-08 5640.3218 174
"617" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 9960.73629696829 36.0300434217024 1.50029038669586e-08 5643.7436 175
"217" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10254.3104174757 329.604163929136 0 5947.3598 176
"417" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10255.4738959538 330.767642407165 0 5946.5161 177
"117" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10256.1168664202 331.41061287356 0 5951.1712 178
